STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE
ANDHRA PRADESH,ADILABAD,2001,101,60,50
ANDHRA PRADESH,ANANTAPUR,2001,151,125,23
ANDHRA PRADESH,CHITTOOR,2001,101,57,27
ANDHRA PRADESH,CUDDAPAH,2001,80,53,20
ANDHRA PRADESH,EAST GODAVARI,2001,82,67,23
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,1,0
ANDHRA PRADESH,GUNTUR,2001,182,88,54
ANDHRA PRADESH,HYDERABAD CITY,2001,111,113,37
ANDHRA PRADESH,KARIMNAGAR,2001,162,85,56
ANDHRA PRADESH,KHAMMAM,2001,93,60,47
ANDHRA PRADESH,KRISHNA,2001,65,51,37
ANDHRA PRADESH,KURNOOL,2001,133,72,29
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,67,59
ANDHRA PRADESH,MEDAK,2001,101,56,35
ANDHRA PRADESH,NALGONDA,2001,122,60,35
ANDHRA PRADESH,NELLORE,2001,89,69,46
ANDHRA PRADESH,NIZAMABAD,2001,106,49,21
ANDHRA PRADESH,PRAKASHAM,2001,102,82,19
ANDHRA PRADESH,RANGA REDDY,2001,214,95,72
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0
ANDHRA PRADESH,SRIKAKULAM,2001,38,10,8
ANDHRA PRADESH,VIJAYAWADA,2001,53,44,25
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,1
ANDHRA PRADESH,VISAKHA RURAL,2001,58,29,12
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,10,13
ANDHRA PRADESH,VIZIANAGARAM,2001,33,14,8
ANDHRA PRADESH,WARANGAL,2001,158,79,53
ANDHRA PRADESH,WEST GODAVARI,2001,77,58,61
ANDHRA PRADESH,TOTAL,2001,2602,1555,871
ARUNACHAL PRADESH,CHANGLANG,2001,11,2,1
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,5,2
ARUNACHAL PRADESH,KAMENG EAST,2001,3,1,2
ARUNACHAL PRADESH,KAMENG WEST,2001,4,2,0
ARUNACHAL PRADESH,LOHIT,2001,16,6,2
ARUNACHAL PRADESH,PAPUM PARE,2001,11,8,9
ARUNACHAL PRADESH,SIANG EAST,2001,7,0,5
ARUNACHAL PRADESH,SIANG UPPER,2001,1,1,2
ARUNACHAL PRADESH,SIANG WEST,2001,5,14,4
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,10,2
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,0,2
ARUNACHAL PRADESH,TAWANG,2001,2,0,1
ARUNACHAL PRADESH,TIRAP,2001,8,4,1
ARUNACHAL PRADESH,TOTAL,2001,83,53,33
ASSAM,BARPETA,2001,64,5,28
ASSAM,BONGAIGAON,2001,45,22,20
ASSAM,C.I.D.,2001,0,0,0
ASSAM,CACHAR,2001,52,30,45
ASSAM,DARRANG,2001,61,13,48
ASSAM,DHEMAJI,2001,15,16,42
ASSAM,DHUBRI,2001,65,23,43
ASSAM,DIBRUGARH,2001,110,22,35
ASSAM,G.R.P.,2001,13,1,1
ASSAM,GOALPARA,2001,28,12,35
ASSAM,GOLAGHAT,2001,53,2,30
ASSAM,GUWAHATI CITY,2001,71,44,37
ASSAM,HAILAKANDI,2001,18,4,24
ASSAM,JORHAT,2001,40,22,42
ASSAM,KAMRUP,2001,37,30,21
ASSAM,KARBI ANGLONG,2001,65,26,5
ASSAM,KARIMGANJ,2001,32,20,33
ASSAM,KOKRAJHAR,2001,87,27,14
ASSAM,LAKHIMPUR,2001,26,21,64
ASSAM,MORIGAON,2001,20,9,23
ASSAM,N.C.HILLS,2001,17,8,2
ASSAM,NAGAON,2001,95,22,51
ASSAM,NALBARI,2001,79,36,30
ASSAM,R.P.O.,2001,11,0,3
ASSAM,SIBSAGAR,2001,59,24,47
ASSAM,SONITPUR,2001,86,25,53
ASSAM,TINSUKIA,2001,107,17,41
ASSAM,TOTAL,2001,1356,481,817
BIHAR,ARARIA,2001,47,27,93
BIHAR,ARWAL,2001,37,64,0
BIHAR,AURANGABAD,2001,74,46,16
BIHAR,BAGAHA,2001,34,67,25
BIHAR,BANKA,2001,93,16,34
